,tc,family,cf,order
74877.cif,2.08,iron-based,Cs1Fe2As2,order
633011.cif,1.85,others,Zr2Fe0.5Ni0.5,disorder
608265.cif,3.23,heavy-Fermion,La1Al2,order
H1Pd1.cif,5.0,h_based,H1Pd1,order
616772.cif,2.3,heavy-Fermion,La4Pb1Bi2,disorder
85391.cif,59.0,cuprate,Ba2Cu1Hg1O4.34,disorder
174554.cif,7.876,heavy-Fermion,Pr1Pt4Ge12,order
391192.cif,13.0325,heavy-Fermion,La3Ni2B2N3,order
633003.cif,2.1,others,U6Fe0.5Ni0.5,disorder
606040.cif,0.101,others,Al0.04Au0.92Ga0.04,disorder
615870.cif,2.4,others,Ba1Ga1Ge1,order
151663.cif,36.3,cuprate,Cu2Gd1O8Ru0.99Sr2Ti0.01,disorder
Zr1H3.cif,11.7,h_based,Zr1H3,order
1717.cif,2.0,others,O3Tl0.3W1,disorder
166383.cif,4.05,others,Ba1Ga1Si1,disorder
641029.cif,3.005,others,Y2Ir3Si5,order
96674.cif,64.9,cuprate,Ba2Cu1O6.16Tl2,disorder
72266.cif,25.0,cuprate,Ce0.5Cu2Nb1O10Sm1.5Sr2,disorder
58829.cif,8.05,others,Pb0.375Bi0.625,disorder
104219.cif,2.11,others,Hf0.93Mo0.07,disorder
430061.cif,0.964,others,Ba1Ti2Sb2O1,order
78216.cif,18.266667,cuprate,Cu1La1.925O4Sr0.075,disorder
43981.cif,0.44,others,In1As0.5Te0.5,disorder
65921.cif,45.0,cuprate,Ba2Cu2.9La1O6.82,disorder
74271.cif,53.5,cuprate,C1Bi0.5Cu2O10Sr4Tl0.5,disorder
196888.cif,12.7,others,C1Mo0.15Nb0.85,disorder
657328.cif,22.4,others,Rb1K2C60,disorder
640758.cif,2.3,heavy-Fermion,La1Ir1Si1,order
291695.cif,5.57,others,Ag0.92Se2Sn1.08,disorder
650166.cif,5.025,heavy-Fermion,Th1Re2,order
58850.cif,4.25,others,Bi2Rb1,order
105675.cif,2.145,others,Sc1Pd2Sn1,order
236258.cif,0.19,heavy-Fermion,Pr1Ti2Al20,order
191392.cif,4.39,others,Co0.7Cu0.3Zr2,disorder
189724.cif,1.3,heavy-Fermion,La1Pd2Sb2,order
648638.cif,6.73,others,Pb0.85Tl0.15,disorder
645534.cif,1.746667,others,Nb3Te4,order
23247.cif,5.527455,others,Ga1,order
186392.cif,34.3,others,Al0.1B2Mg0.9,disorder
106236.cif,0.296667,others,Zr1Zn2,order
262809.cif,91.7375,cuprate,Ba2Cu3O6.93Y1,order
636552.cif,2.2,others,Hf1Ge2,order
601565.cif,6.496667,others,Yb1C6,order
649556.cif,2.1,others,Pt1Sb1,order
92882.cif,35.0,cuprate,Cu1Nd0.17O2Sr0.83,disorder
645263.cif,3.0,others,Nb0.85Rh1.15,disorder
628767.cif,3.794,others,Rh2Cu1S4,order
52898.cif,1.25,heavy-Fermion,Ce1Ru3Si2,order
608975.cif,0.69,others,Zr1Ni2Al1,order
41654.cif,101.0,cuprate,Ba2Ca2Cu3Hg1O8.16,disorder
B1H3.cif,125.0,h_based,B1H3,order
649158.cif,2.36,others,Zr2Pd1,order
42981.cif,2.3,others,Nb2Se3,order
604624.cif,2.245,heavy-Fermion,La1Rh1Si3,order
640018.cif,3.32,others,In3Mo15Se19,disorder
650551.cif,7.65,others,Zr3Rh1,order
600059.cif,5.1,others,Re1Nb1Si1,order
638834.cif,1.15,others,Hf1Rh1Si1,order
72248.cif,18.057143,cuprate,Ce0.15Cu1O4Sm1.85,disorder
Zr1H10.cif,220.0,h_based,Zr1H10,order
644289.cif,12.6,others,Mo6Sn1S8,order
58796.cif,2.4625,others,Bi1Li1,order
78969.cif,4.5,others,Y2Al1Ge3,order
621428.cif,1.53,heavy-Fermion,Ce1Ir1Si3,order
409530.cif,0.84,others,Ba4Na2Ge25,disorder
191970.cif,0.394,heavy-Fermion,La2Ni1Ge3,order
155044.cif,0.0502,others,Pb2Ag5O6,order
165077.cif,7.5,others,Zr3V3O1,order
612025.cif,0.28,others,Au0.8In0.2,disorder
42917.cif,10.0,others,Mo3Al2C1,order
237004.cif,3.32,others,Ir2Cu0.8Zn0.2S4,disorder
Bi1H1.cif,30.0,h_based,Bi1H1,order
197134.cif,0.64,others,Pd3Sn2,disorder
184388.cif,0.5995,heavy-Fermion,U1Co1Ge1,order
105224.cif,13.5,others,Nb1Ru3,order
65395.cif,91.8,cuprate,Ba2Cu3Ho1O6.96,disorder
645243.cif,2.43,others,Nb0.4Re0.6,disorder
68188.cif,88.25,cuprate,Bi2Ca1Cu2O8Sr2,order
411884.cif,0.5,others,Ta1Ir1Si1,order
197020.cif,13.6,others,Al0.6Nb3Sn0.4,disorder
106082.cif,3.33,heavy-Fermion,Th1Sn3,order
672539.cif,0.52414,others,Cd1,order
649603.cif,0.88,others,Pt1Si1,order
602516.cif,33.0,others,Cs2Rb1C60,disorder
656168.cif,3.76,others,Au1Pb2,order
671418.cif,3.35,others,Zr3Ni1,order
674810.cif,2.4,others,Re0.15W0.85,disorder
604343.cif,0.97,heavy-Fermion,La1Pd2As2,order
196836.cif,2.7,others,Nb0.75Rh1.25,disorder
108016.cif,1.99,others,Au0.3Te0.7,disorder
63403.cif,78.2,cuprate,Ba2Cu3Er1O6.78,disorder
58504.cif,3.02,others,Sc1Au2In1,order
69936.cif,32.0,cuprate,Cu1La1O5Sr1Tl1,disorder
Zr4H15.cif,4.0,h_based,Zr4H15,order
650738.cif,1.07,others,Ru1Ti1,order
606021.cif,0.088,others,Al0.08Au0.92,disorder
Li6Au1H1.cif,2.79,h_based,Li6Au1H1,order
246431.cif,9.465833,heavy-Fermion,B2C1Er1Ni2,order
187693.cif,8.2,others,Nb1Si1As1,order
650136.cif,1.76,others,Y2Re3Si5,order
672758.cif,1.55,others,Cr1,order
196272.cif,81.8,cuprate,Ba2Ca0.1Cu3O7Y0.9,disorder
648942.cif,2.82,heavy-Fermion,Pd2Sn1Tm1,order
614933.cif,3.0,heavy-Fermion,Nd1B6,order
647841.cif,0.46,others,Os1Ti1,order
648009.cif,1.525,others,Zr1Rh1P1,order
161914.cif,38.25,others,B2Li0.05Mg0.95,disorder
H4I1.cif,17.5,h_based,H4I1,order
82335.cif,7.2,others,Ba0.4Bi1K0.6O3,disorder
Li1Au1H1.cif,4.69,h_based,Li1Au1H1,order
191388.cif,6.07,others,Co0.9Cu0.1Zr2,disorder
186393.cif,31.5,others,Al0.15B2Mg0.85,disorder
72260.cif,0.56,others,Na0.28O3W1,disorder
617561.cif,12.4,others,C2.9Cr0.2Y1.8,disorder
247248.cif,4.965,iron-based,Li1Fe1P1,order
649849.cif,2.835,others,Y1Pt2,order
640737.cif,2.33,heavy-Fermion,La7Ir3,order
633652.cif,1.595,others,Y2Fe3Si5,order
658326.cif,0.37,others,Pt1Sn1,order
639074.cif,1.7,others,Hg3Li1,order
72230.cif,86.0,cuprate,Ba1.6Ca0.1Cu4O8Sr0.4Yb0.9,disorder
104276.cif,10.45,others,Hf0.87Ta0.13V2,disorder
H6Ta1.cif,135.8,h_based,H6Ta1,order
616991.cif,1.45,others,Pt1Bi1Se1,order
649758.cif,0.49,heavy-Fermion,Th7Pt3,order
619356.cif,1.6,others,Hg3Ca1,order
Ge3H11.cif,43.0,h_based,Ge3H11,order
77805.cif,2.0,others,Sn1P1,order
618108.cif,5.4,others,C3Ho0.2Th1.8,disorder
606030.cif,0.55,others,Au4Al1,order
653405.cif,8.346667,others,Zr1V2,order
641026.cif,1.1,heavy-Fermion,U1Ir2Si2,order
635332.cif,2.1,others,Sc1Ga3,order
103963.cif,10.5,others,Ga0.2Si0.8V3,disorder
76560.cif,1.38,others,Nb1O1,order
150742.cif,6.11,heavy-Fermion,Th1Ir2,order
198654.cif,2.051667,heavy-Fermion,Ce1Au2Si2,order
641783.cif,3.293333,heavy-Fermion,La1Ru4Sb12,order
102207.cif,0.449,others,La0.5Ce0.5Ru2,disorder
422403.cif,3.46,others,Sc1Ir1P1,order
242164.cif,1.983333,iron-based,Rb1Fe2As2,order
161868.cif,0.805,heavy-Fermion,Ce1Ir1Ge3,order
42597.cif,1.58,others,Pd1Sb1,order
94194.cif,1.5,others,Sr2Ru1O4,order
611658.cif,10.1,others,Au0.2C2.6Y1.8,disorder
La1S1H6.cif,35.0,h_based,La1S1H6,order
641647.cif,4.086667,heavy-Fermion,La1Pb3,order
649646.cif,1.57,others,Y1Pt2Si2,order
644511.cif,2.743,others,Zr1Mo2,order
609676.cif,0.94,heavy-Fermion,Yb1Al3,order
675032.cif,10.2,others,Pt2Sr1Ge2,order
659684.cif,3.3,others,Ru1Cr3,order
166381.cif,4.2375,others,Ca1Ga1Si1,disorder
640787.cif,7.915,heavy-Fermion,Sc2.5Lu2.5Ir4Si10,disorder
43263.cif,0.205,others,Mo1As2,order
615149.cif,2.22,others,Y1Os1B2,order
658208.cif,1.0,heavy-Fermion,La1Ni1Sb2,order
648956.cif,2.39,heavy-Fermion,Yb1Pd2Sn1,order
53661.cif,0.37,heavy-Fermion,La3Ni4Ge4,order
192307.cif,28.7,iron-based,Ba0.4Na0.6Fe2As2,disorder
602372.cif,0.71,others,K1V6S8,disorder
291085.cif,2.8,others,Ce0.5Bi1Sr0.5S2F1,disorder
643855.cif,2.4525,heavy-Fermion,U6Mn1,order
198760.cif,10.1,others,Hf0.5Zr0.5V2,disorder
640790.cif,3.82,heavy-Fermion,Lu5Ir4Si10,order
102816.cif,0.9,others,Ta2Ni1,order
37186.cif,2.6,others,Ag1Te3,order
16316.cif,6.233333,others,Mo3Se4,order
51974.cif,3.2,others,Mg2In1,order
42118.cif,2.22375,others,Cu1Se2,order
641065.cif,5.7,others,Ir2Sr1,order
H6La1.cif,170.0,h_based,H6La1,order
77899.cif,1.1,heavy-Fermion,Th1Pd2Si2,order
650085.cif,1.71,others,Sc1Re2,order
67637.cif,74.466667,cuprate,Ba2Cu4Dy1O8,order
189032.cif,26.0,iron-based,As2Ba0.76Fe2K0.24,disorder
616879.cif,0.73,others,Bi2Ni3Se2,order
650176.cif,7.05,others,Re0.83Ti0.17,order
635621.cif,16.45,others,V1Ga1,disorder
H2Ti1.cif,7.0,h_based,H2Ti1,order
650471.cif,0.36,heavy-Fermion,Th1Rh1,order
610156.cif,1.838,others,Cr1As1,order
391427.cif,3.0,others,La1Ni1P1O1,order
254472.cif,1.13,others,Pd3Ag2S1,disorder
90703.cif,1.475,others,Ba24Si100,order
634302.cif,0.21,others,Hf2Ga1,order
162724.cif,5.458571,iron-based,La1Fe1P1O1,order
659011.cif,6.6,heavy-Fermion,Th1Pt2B2C1,order
174555.cif,0.7,heavy-Fermion,Nd1Pt4Ge12,order
197258.cif,0.46,others,Au1Zr3,order
674044.cif,5.7,others,Ga1As1,order
168134.cif,0.8825,others,Sr1Ni2Ge2,order
640781.cif,2.47,heavy-Fermion,Lu1Ir2,order
105079.cif,10.0,others,Mo0.75Re0.25,disorder
648639.cif,5.8,others,Pb0.6Tl0.4,disorder
58931.cif,7.4775,others,Ca3Rh4Sn13,order
99282.cif,49.9,cuprate,Ba1Cu3Nd1O7.02Sr1,disorder
183119.cif,4.15,heavy-Fermion,Ce1Bi2Ni0.8,disorder
1244.cif,4.189,others,Bi3In5,order
633908.cif,2.016667,heavy-Fermion,Th7Fe3,order
602373.cif,0.65,others,Rb1V6S8,disorder
150654.cif,1.85,others,U0.9Mo0.1,disorder
68028.cif,0.39,others,Sc1B12,order
429727.cif,1.7,others,Ir4Ca3Ge4,order
672121.cif,0.39,others,Os1Al1,order
151637.cif,45.0,cuprate,B0.2Ba1Ca0.2Cu2.8O7Sr1Y0.8,disorder
635645.cif,3.57,others,V2Ga5,order
291694.cif,5.245,others,Ag0.95Se2Sn1.05,disorder
641095.cif,3.93,heavy-Fermion,Th1Ir5,order
641591.cif,0.59,heavy-Fermion,La1Ni1Sn1,order
659391.cif,4.655,others,Ag1Se2Sn1,disorder
71730.cif,90.0,cuprate,Ba2Cu3O6.89Sm1,disorder
43244.cif,0.55,others,Sr2Si3,disorder
650562.cif,11.165,others,Zr2Rh1,order
186445.cif,33.65,iron-based,Pt5.8Ca10Fe8.2As18,disorder
615755.cif,2.75,others,Zr1B2,order
616530.cif,9.35,others,Bi0.2C2.9Y1.8,disorder
645148.cif,2.86,others,Nb0.5Os0.5,disorder
86967.cif,15.0,cuprate,Ca0.08Cu1La1.92O4,disorder
197757.cif,3.5,others,Sn0.1Tl0.9,disorder
647766.cif,4.6,others,Sc1Os2,order
189025.cif,3.5,iron-based,As2Ba0.9Fe2K0.1,disorder
236263.cif,0.029667,heavy-Fermion,Pr1V2Al20,order
635402.cif,5.8,others,Ta4Ga1Se8,order
191041.cif,5.0,iron-based,Br0.18Fe1Se0.82,disorder
192306.cif,32.8,iron-based,Ba0.5Na0.5Fe2As2,disorder
104607.cif,2.13,others,Ir1Zr3,order
645513.cif,17.7,others,Zr0.9Nb2.1Sn1,disorder
186558.cif,3.1,others,Zr1B1,order
641824.cif,0.84,others,La1S1,order
417473.cif,5.8,others,Y3Os8B6,order
151672.cif,12.9,cuprate,Cu2Gd1O8Rh0.2Ru0.8Sr2,disorder
58462.cif,1.79,others,Au0.85Pd0.15Ga2,disorder
102109.cif,0.4,heavy-Fermion,Ce2Co1In8,order
105101.cif,14.7,others,Mo0.4Tc0.6,disorder
649860.cif,0.82,others,Y7Pt3,order
68055.cif,69.0,cuprate,Ba1.7Cu3Nd1.3O7,disorder
68584.cif,118.975,cuprate,Ba2Ca2Cu3O10Tl2,order
75860.cif,46.0,cuprate,Cu2.65Fe0.35O7.1Sr2Y1,disorder
104693.cif,1.18,heavy-Fermion,La1Pb1.5Sn1.5,disorder
104280.cif,8.8,others,Hf0.8Ti0.2V2,disorder
635137.cif,2.9,others,Pt3Ga7,order
81186.cif,28.6,cuprate,Ba2Cu3Er0.5O7Pr0.5,disorder
66771.cif,3.4,others,Sr3Rh8B6,order
608280.cif,5.986667,heavy-Fermion,La3Al1,order
659574.cif,1.1,others,Bi2Rh1,order
616760.cif,0.64,heavy-Fermion,La5Bi3,order
671673.cif,0.906667,others,Y1Pt1Bi1,order
67081.cif,34.3,cuprate,Ba2Cu3Nd1O6.65,disorder
615923.cif,2.32,others,Hg1Ba1,order
671587.cif,1.073333,heavy-Fermion,La1Ag1,order
602553.cif,1.7475,others,La1C2,order
106849.cif,0.216667,heavy-Fermion,Ce1Ni2Ge2,order
77792.cif,1.315,others,Ru1Ti1P1,order
105642.cif,4.72,others,Y1Pb3,order
15143.cif,14.6,others,Pb0.92Mo6S7.5,disorder
181441.cif,1.895,iron-based,As1Co0.2Fe0.8O1Sm1,disorder
59484.cif,1.04,others,Y1Pd2In1,order
Cr1H1.cif,10.6,h_based,Cr1H1,order
150755.cif,3.746667,others,Bi1Pd1,order
605927.cif,2.225,heavy-Fermion,Th2Ag1,order
H7Sc1.cif,169.0,h_based,H7Sc1,order
412573.cif,0.93,others,Ir1Sn4,order
613771.cif,7.37,heavy-Fermion,Er1Ir2Rh2B4,disorder
612203.cif,9.226364,others,Au1Nb3,order
72618.cif,2.0,others,Cs0.3O3W1,disorder
23005.cif,0.66,others,Sr1Ni2As2,order
164065.cif,51.45,iron-based,Nd1Fe1As1O0.85,disorder
181436.cif,13.3,iron-based,As1Co0.075Fe0.925O1Sm1,disorder
166390.cif,2.9,others,Ba1Al1Sn1,disorder
164574.cif,9.659,heavy-Fermion,Tm1Ni2B2C1,order
96010.cif,53.0,cuprate,Cu2Fe1O7.68Sr2Y1,disorder
237005.cif,2.95,others,Cu0.7Ir2S4Zn0.3,disorder
672496.cif,9.5,others,Nb1,order
67342.cif,90.0,cuprate,Ba2Cu3Dy1O6.84,disorder
194347.cif,1.65,others,Au1Sr1Si3,order
Ba1C3H12.cif,43.7,h_based,Ba1C3H12,order
600642.cif,0.303333,others,Nb5Ge3,order
41810.cif,3.38,others,W1.75Ru1.25B2,disorder
642071.cif,8.905,heavy-Fermion,La3Tl1,order
74167.cif,105.2,cuprate,Ca0.8Cu2O7Pb0.5Sr2Tl0.5Y0.2,disorder
56599.cif,44.333333,cuprate,Cu1F2O2Sr2,disorder
108755.cif,3.3,others,Th0.2Zr0.8,disorder
150225.cif,0.770429,heavy-Fermion,Ce1Ir1In5,order
618514.cif,10.8,others,C2.7Nb0.2Y1.8,disorder
74155.cif,47.0,cuprate,Ca0.15Cu3O8Pb2Sr2Y0.85,disorder
